county,sub_county,Disease/ Condition,Number at Risk
Kakamega,Malava,Trypanosomiasis,73
Marsabit,Moyale,caseous Lymphad,11
Kakamega,Likuyani,East Coast Fever(ECF),7
Kakamega,Likuyani,Trypanosomiasis,62
Marsabit,Moyale,Trypanosomiasis,15
Kakamega,Likuyani,Trypanosomiasis,23
Marsabit,Moyale,orf,19
Marsabit,Moyale,Haemorrhagic septicemia,15
Kakamega,Malava,Pneumonia,40
Marsabit,Moyale,Heart Water,19
Marsabit,Moyale,Pneumonia,19
Marsabit,Moyale,Haemorrhagic Septicemia ,19
Marsabit,Moyale,Animal bites,19
Kakamega,Shinyalu,Pneumonia,14
Marsabit,Moyale,Brucellosis,19
Marsabit,Moyale,Brucellosis,10
Kakamega,Malava,Animal bites,12
Kakamega,Malava,Brucellosis,11
Kakamega,Malava,Trypanosomiasis,1
Marsabit,Moyale,Brucellosis,14
Kakamega,Lugari,Helminthiasis,19
Kakamega,Ikolomani,Pneumonia,12
Kakamega,Butere,Rabies,2
Kakamega,Lurambi,0,5
Kakamega,Butere,Rabies,2
Kakamega,Malava,Trypanosomiasis,2
Kakamega,Malava,Clinical Mastits,5
Kakamega,Lugari,Caseous Lymphad ,14
Kakamega,Butere,Helminthiasis,1
Kericho,Sigowet/Soin,Anaplasmosis,1
Kericho,Ainamoi,Anaplasmosis,3
Kirinyaga,Kirinyaga East,Anaplasmosis,3
Kirinyaga,Kirinyaga central,Helminthiasis,14
Kisumu,Seme,East Coast Fever(ECF),2
Marsabit,Moyale,Haemorrhagic septicemia,11
Kisumu,Seme,East Coast Fever(ECF),1
Kisumu,Kisumu East,Helminthiasis,0
Kisumu,Seme,Helminthiasis,0
Kisumu,Seme,Helminthiasis,6
Kitui,Kitui Rural,Abscess,0
Kitui,Mwingi Central,Helminthiasis,0
Kitui,Kitui Central,Helminthiasis,0
Kitui,Kitui East,Helminthiasis,0
Kitui,Mwingi Central,Anaplasmosis,5
Kwale,Kinango,Helminthiasis,0
Laikipia,Laikipia West,Brucellosis,90
Machakos,Kangundo,Pneumonia ,2
Makueni,Kibwezi West,Brucellosis,62
Makueni,Mbooni,Brucellosis,56
Makueni,Kaiti,Helminthiasis,0
Makueni,Kaiti,Rabies,1
Makueni,Mbooni,Brucellosis,5
Makueni,Kibwezi West,Dystocia,0
Makueni,Kibwezi West,Brucellosis,107
Taita Taveta,Taveta,Trypanosomiasis,580
Makueni,Kibwezi West,Anaplasmosis,3
Makueni,Mbooni,Babesiosis ,45
Makueni,Kaiti,Brucellosis,188
Makueni,Kaiti,East Coast Fever(ECF),45
Makueni,Mbooni,Animal bites,5
Taita Taveta,Taveta,Trypanosomiasis,450
Makueni,Kibwezi East,Arthritis ,16
Makueni,Kibwezi West,Anaplasmosis,15
Makueni,Kibwezi West,Brucellosis,23
Makueni,Kibwezi West,Orf,25
Makueni,Kaiti,Orf Disease Was Diagnosed ,800
Makueni,Makueni,Trypanosomiasis,36
Makueni,Kaiti,Peste des Petit Ruminants (PPR),42
Makueni,Kibwezi West,Heart Water,254
Makueni,Makueni,Orf,80
Makueni,Kibwezi West,Eclampsia ,0
Makueni,Kibwezi West,Helminthiasis,23
Makueni,Mbooni,Anaplasmosis,3
Makueni,Kibwezi West,Brucellosis,15
Makueni,Kibwezi West,East Coast Fever(ECF),3
Makueni,Kibwezi East,Brucellosis,40
Makueni,Makueni,0,10
Makueni,Kaiti,Pneumonia,8
Makueni,Kibwezi East,Brucellosis,34
Makueni,Kibwezi West,Trypanosomiasis,42
Makueni,Kibwezi West,Pneumonia,1
Makueni,Kibwezi East,Foot and Mouth Disease (FMD),24
Makueni,Kibwezi East,Lumpy Skin Disease (LSD),6
Makueni,Kibwezi East,Collibacillosis,4
Marsabit,Moyale,Foot and Mouth Disease (FMD),35
Makueni,Kibwezi East,Pneumonia,1
Makueni,Makueni,East Coast Fever(ECF),4
Makueni,Kaiti,Goat Pox,312
Makueni,Kibwezi West,Poisoning,68
Makueni,Kibwezi West,Rabies,5
Makueni,Kibwezi East,Footrot,5
Makueni,Kibwezi West,Anaplasmosis,1
Makueni,Mbooni,East Coast Fever(ECF),5
Makueni,Kibwezi West,Haemorrhagic septicemia,29
Makueni,Kibwezi West,Helminthiasis,0
Makueni,Makueni,Anaplasmosis,4
Makueni,Kibwezi East,Lumpy Skin Disease (LSD),7
Makueni,Mbooni,Brucellosis,21
Makueni,Mbooni,Helminthiasis,0
Makueni,Kilome,Helminthiasis,1
Makueni,Kibwezi West,Helminthiasis,0
Makueni,Kibwezi West,Pneumonia,0
Makueni,Kibwezi East,Helminthiasis,5
Taita Taveta,Taveta,Trypanosomiasis,5
Makueni,Kaiti,Black Quarter,3
Makueni,Kaiti,Poisoning,13
Makueni,Kaiti,Helminthiasis,0
Makueni,Kaiti,Poisoning,6
Makueni,Kaiti,Helminthiasis,3
Taita Taveta,Taveta,Anaplasmosis,17
Makueni,Kaiti,East Coast Fever(ECF),4
Makueni,Kaiti,Foot and Mouth Disease (FMD),40
Makueni,Kaiti,Bluetongue ,24
Makueni,Kaiti,Brucellosis,40
Makueni,Kaiti,Babesiosis ,2
Makueni,Makueni,Helminthiasis,1
Makueni,Makueni,Wryneck ,13
Marsabit,North Horr,Rabies,3
Marsabit,North Horr,Fowl Pox,200
Marsabit,North Horr,Lumpy Skin Disease (LSD),155
Garissa,Balambala,Foot and Mouth Disease (FMD),78
Marsabit,Moyale,Bovine papillomatosis ,7
Marsabit,Moyale,No,103
Marsabit,Moyale,Arthritis ,19
Marsabit,Moyale,Trypanosomiasis,0
Marsabit,Moyale,Camel Pox,5
Marsabit,Moyale,Heart Water,2
Marsabit,Moyale,Helminthiasis,3
Marsabit,Moyale,0,130
Marsabit,Moyale,Myasis,0
Marsabit,Moyale,Dystocia,0
Marsabit,Moyale,Lumpy Skin Disease (LSD),2
