name,county,latitude,longitude,ownership
,Elgeyo/Marakwet,1.0404531,35.3210754,GOK
,Elgeyo/Marakwet,0.4605691,35.6401319,GOK
,Elgeyo/Marakwet,0.9551339,35.4030127,GOK
,Elgeyo/Marakwet,1.007442597306639,35.347692562298676,GOK
,Elgeyo/Marakwet,1.0124909877777104,35.32177448272705,GOK
,Elgeyo/Marakwet,1.0132303688048694,35.33976919591318,GOK
,Elgeyo/Marakwet,0.5252515975604553,35.567324291253456,GOK
,Elgeyo/Marakwet,0.9898006,35.4502865,GOK
,Elgeyo/Marakwet,1.0397166,35.3210754,GOK
,Elgeyo/Marakwet,1.0397166,35.3210754,GOK
,Elgeyo/Marakwet,1.0659191,35.5861312,GOK
,Elgeyo/Marakwet,1.0659191,35.5861312,GOK
,Garissa,0.4589492,39.7451285,GOK
,Garissa,1.1858,38.8955,GOK
,Garissa,0.1657,39.0072,GOK
,Garissa,0.2944356,38.7680653,GOK
,Garissa,0.5087673,38.6747717,GOK
,Garissa,-0.731619361379412,39.832675621827036,GOK
,Garissa,-0.26644,40.7895,GOK
,Garissa,0.8974,39.963345,GOK
,Garissa,-108011.0,39.498203,GOK
,Garissa,-0.5399212998139289,39.70015623382312,GOK
,Marsabit,2.8782911,38.944546,GOK
,Garissa,-1.3130634,40.7267874,GOK
,Kajiado,-1.4315082,36.7332906,GOK
,Kajiado,-1.4333828,36.6851044,GOK
,Kajiado,,,GOK
,Kajiado,-2.3177208,36.8275506,GOK
,Kakamega,0.7863547,35.0410535,GOK
,Marsabit,3.323496,38.473467,GOK
,Turkana,1.672546,36.2869777,GOK
,Kakamega,0.7863911,35.0372676,GOK
,Kakamega,0.4450086,34.8380984,GOK
,Kakamega,0.4097552,34.8587951,GOK
,Kakamega,0.5557848,34.8039378,GOK
,Kakamega,0.1916179,34.7618477,GOK
,Kakamega,0.7462378,35.0995407,GOK
,Kakamega,0.4097552,34.8587951,GOK
,Kakamega,0.7419678,35.0861266,GOK
,Makueni,-2.4607202,37.981272,GOK
,Kakamega,0.7102469,35.0596362,GOK
,Kakamega,,,GOK
,Kakamega,0.446684,34.8422381,GOK
,Kakamega,0.409513,34.8587951,GOK
,Kakamega,0.1505627,34.7766685,GOK
,Kakamega,0.2694681,34.8163614,GOK
,Kakamega,0.730133,35.0727104,GOK
,Kakamega,0.3642358,34.9163746,GOK
,Kakamega,0.4217887,34.9215445,GOK
,Kakamega,0.7427032,35.058948,GOK
,Kakamega,0.7412233,35.0875025,GOK
,Kakamega,0.7437015,35.0565393,GOK
,Kakamega,0.26908499999999996,34.55542666666667,GOK
,Kakamega,0.7412233,35.0875025,GOK
,Kakamega,0.28748,34.50271,GOK
,Kakamega,0.7325574,35.0744306,GOK
,Elgeyo/Marakwet,0.6074988842011066,35.544161796569796,GOK
,Kakamega,0.7416925,35.0895663,GOK
,Kakamega,0.2900784,34.5131979,GOK
,Kakamega,0.7003476,35.1050432,GOK
,Kakamega,0.4469771,34.8329234,GOK
,Kakamega,0.3874962,34.8550011,GOK
,Kakamega,0.4102311,34.8605196,GOK
,Kakamega,0.4132176,34.8446529,GOK
,Kakamega,0.3874962,34.8550011,GOK
,Kakamega,0.4463254,34.8636237,GOK
,Kakamega,0.4087761,34.8608645,GOK
,Kakamega,0.7125204,35.0785588,GOK
,Kakamega,0.430358,34.8574155,GOK
,Kakamega,0.2788057,34.5512811,GOK
,Kakamega,0.3179822,34.5703165,GOK
,Kakamega,0.4097552,34.8587951,GOK
,Kakamega,0.4144516,34.8401683,GOK
,Kakamega,0.2476926,34.6775289,GOK
,Kakamega,0.6397411,34.917064,GOK
,Kakamega,0.4097552,34.8587951,GOK
,Kakamega,0.6319735,34.9129278,GOK
,Kakamega,0.6319735,34.9129278,GOK
,Baringo,0.7037148,35.7217475,GOK
,Kakamega,0.3874962,34.8550011,GOK
,Kakamega,0.4460492,34.8698313,GOK
,Kakamega,0.7856511,35.0379559,GOK
,Kakamega,0.7127553,35.0795908,GOK
,Kakamega,0.439779,34.8636237,GOK
,Kakamega,0.7412483,35.0847507,GOK
,Kakamega,0.6039698,34.8449979,GOK
,Kakamega,0.4813786,34.843618,GOK
,Kakamega,0.4811257,34.8453428,GOK
,Marsabit,3.327542,39.221995,GOK
,Kakamega,0.7298859,35.0730544,GOK
,Kakamega,0.7126586,35.0627329,GOK
,Marsabit,3.327542,39.221995,GOK
,Kakamega,0.7126586,35.0627329,GOK
,Marsabit,3.327542,39.221995,GOK
,Marsabit,3.327542,39.221995,GOK
,Kakamega,0.4622455,34.8360284,GOK
,Marsabit,3.327542,39.221995,GOK
,Marsabit,3.327542,39.221995,GOK
,Marsabit,3.327542,39.221995,GOK
,Marsabit,3.327542,39.221995,GOK
,Kakamega,,,GOK
,Marsabit,3.327542,39.221995,GOK
,Marsabit,3.327542,39.221995,GOK
,Kakamega,0.4109543,34.8612094,GOK
,Kakamega,0.4360136,34.8422381,GOK
,Kakamega,0.3906416,34.855346,GOK
,Marsabit,3.155705,38.578925,GOK
,Kakamega,0.6519095,34.9198213,GOK
,Kakamega,0.1484857,34.7279766,GOK
,Kakamega,0.1461294,34.4251972,GOK
,Kakamega,0.2703877,34.7566425,GOK
,Kakamega,0.3179822,34.5703165,GOK
,Kakamega,0.4565622,34.8981051,GOK
,Kakamega,0.4502344,34.9025867,GOK
,Kakamega,0.6459117,34.8763834,GOK
,Kakamega,,,GOK
,Kericho,-0.3234209,35.0362351,GOK
,Kericho,,,GOK
,Kirinyaga,-0.4453972,37.300714,GOK
,Kirinyaga,,,GOK
,Kisumu,-0.0967032,34.596959,GOK
,Marsabit,3.155705,38.578925,GOK
,Kisumu,-0.0967032,34.596959,GOK
,Kisumu,-0.1173819,34.7818469,GOK
,Kisumu,-0.0626126,34.5176995,GOK
,Kisumu,,,GOK
,Kitui,,,GOK
,Kitui,,,GOK
,Kitui,-1.349844,37.9955035,GOK
,Kitui,-1.6618166,38.5009239,GOK
,Kitui,,,GOK
,Kwale,-3.750576,39.1265615,GOK
,Laikipia,0.2722068,36.5413722,GOK
,Machakos,-1.3423272,37.3351327,GOK
,Makueni,,,GOK
,Makueni,-1.6289072,37.5452923,GOK
,Makueni,-1.851151,37.4389562,GOK
,Makueni,-1.852986,37.4439599,GOK
,Makueni,-1.6289072,37.5452923,GOK
,Makueni,,,GOK
,Makueni,-2.0289328,37.6265194,GOK
,Taita Taveta,-3.4570133333333333,37.77455333333333,GOK
,Makueni,,,GOK
,Makueni,-1.6059153,37.56295685,GOK
,Makueni,-1.7967067,37.3728739,GOK
,Makueni,-1.8019292,37.3591825,GOK
,Makueni,-1.6191391333333334,37.55792678333333,GOK
,Taita Taveta,-3.456951666666667,37.77459666666667,GOK
,Makueni,-2.462599,37.9842509,GOK
,Makueni,,,GOK
,Makueni,-2.3123633333333338,37.839148333333334,GOK
,Makueni,,,GOK
,Makueni,,,GOK
,Makueni,-1.908102873712778,37.72671206854284,GOK
,Makueni,-1.9047137,37.4332849,GOK
,Makueni,-2.255103333333333,37.901381666666666,GOK
,Makueni,-1.9888105,37.6404916,GOK
,Makueni,,,GOK
,Makueni,-2.3748087,38.0024527,GOK
,Makueni,-1.6356269500000002,37.610538766666664,GOK
,Makueni,-2.351223,38.1148651,GOK
,Makueni,,,GOK
,Makueni,-2.5912632,38.1082577,GOK
,Makueni,-1.8724912,37.5549513,GOK
,Makueni,-1.7917850000000002,37.36047833333334,GOK
,Makueni,,,GOK
,Makueni,-2.0776897,37.4633043,GOK
,Makueni,0.0,0.0,GOK
,Makueni,-2.4757951,38.0623189,GOK
,Makueni,-2.5248017,38.0271759,GOK
,Makueni,-2.4893918,38.0841355,GOK
,Marsabit,3.5094664,39.0536548,GOK
,Makueni,-2.5139467,38.0170107,GOK
,Makueni,-1.900517,37.7222727,GOK
,Makueni,-1.7903876,37.3608523,GOK
,Makueni,-2.3316162,37.9418716,GOK
,Makueni,-2.2208657,37.7441976,GOK
,Makueni,-2.535041,37.9438587,GOK
,Makueni,,,GOK
,Makueni,,,GOK
,Makueni,-2.4075271,37.9604158,GOK
,Makueni,-1.9156976,37.7305784,GOK
,Makueni,-1.8536943,37.6614447,GOK
,Makueni,-2.6721827,38.1340227,GOK
,Makueni,-1.6323093,37.6228596,GOK
,Makueni,-1.6299428,37.564609,GOK
,Makueni,-1.973031,37.327784,GOK
,Makueni,0.0,0.0,GOK
,Makueni,-2.3886834,37.9475016,GOK
,Makueni,-2.494158,38.0457866,GOK
,Taita Taveta,-3.4713766666666666,37.66770833333333,GOK
,Makueni,-1.8420446,37.4309495,GOK
,Makueni,-1.8493816,37.4312831,GOK
,Makueni,-1.8514337,37.417603,GOK
,Makueni,-1.8283627,37.4499639,GOK
,Makueni,-1.8487701,37.4207908,GOK
,Taita Taveta,-3.4412299999999996,37.631346666666666,GOK
