county,sub_county,Disease/ Condition,total
Marsabit,Moyale,Foot and Mouth Disease (FMD),340
Makueni,Makueni,East Coast Fever(ECF),23
Makueni,Kaiti,Goat Pox,312
Makueni,Kibwezi West,Poisoning,73
Makueni,Kibwezi West,Rabies,40
Makueni,Kibwezi East,Footrot,5
Makueni,Mbooni,East Coast Fever(ECF),71
Makueni,Kibwezi West,Haemorrhagic septicemia,29
Makueni,Makueni,Anaplasmosis,9
Makueni,Mbooni,Helminthiasis,111
Makueni,Kilome,Helminthiasis,122
Makueni,Kibwezi East,Helminthiasis,172
Makueni,Kaiti,Black Quarter,3
Makueni,Kaiti,Poisoning,24
Taita Taveta,Taveta,Anaplasmosis,89
Makueni,Kaiti,Foot and Mouth Disease (FMD),64
Makueni,Kaiti,Bluetongue,24
Makueni,Kaiti,Babesiosis,2
Makueni,Makueni,Helminthiasis,49
Makueni,Makueni,Wryneck,13
Marsabit,North Horr,Rabies,87
Marsabit,North Horr,Fowl Pox,200
Marsabit,North Horr,Lumpy Skin Disease (LSD),155
Garissa,Balambala,Foot and Mouth Disease (FMD),1313
Marsabit,Moyale,Bovine papillomatosis,7
Marsabit,Moyale,No,103
Marsabit,Moyale,Arthritis,59
Marsabit,Moyale,0,970
Marsabit,Moyale,Myasis,0
Marsabit,Moyale,Dystocia,0
Marsabit,Moyale,Lumpy Skin Disease (LSD),834
Marsabit,Moyale,Contagious Caprine Pleuropneumonia (CCPP),4015
Marsabit,Moyale,Rift Valley Fever (RVF),2211
Marsabit,Moyale,Mastitis,408
Marsabit,Moyale,Metritis,0
Marsabit,Moyale,Retained Placenta,9
Marsabit,Saku,Foot and Mouth Disease (FMD),174
Marsabit,Moyale,East Coast Fever(ECF),225
Marsabit,Moyale,None,0
Marsabit,Moyale,Enterotoxaemia,1215
Marsabit,Moyale,Contagious Bovine Pleuropneumonia (CBPP),62
Marsabit,Moyale,Acds,9
Marsabit,Laisamis,Contagious Caprine Pleuropneumonia (CCPP),3117
Samburu,Samburu East,Flea Allergy Dermatitis,0
Marsabit,Laisamis,Heart Water,63
Marsabit,Moyale,ORF,71
Marsabit,Moyale,Abscess,383
Marsabit,North Horr,Fructure,7
Marsabit,Moyale,Fracture Of Tibia And Fibula,0
Marsabit,Moyale,Skin Abscess,0
Marsabit,North Horr,Trypanosomiasis,114
Marsabit,North Horr,Peste des Petit Ruminants (PPR),3520
Marsabit,Moyale,Ephemeral Fever,19
Marsabit,Moyale,Coccidiosis,2
Marsabit,Moyale,Contagious Ecthyma,81
Marsabit,Moyale,Colic,1
Marsabit,North Horr,Helminthiasis,567
Marsabit,North Horr,Ectoparasite Infestation,0
Marsabit,Moyale,Pg,0
Marsabit,Moyale,Acute Camel Death Syndrome,25
Marsabit,North Horr,Pneumonia,282
Samburu,Samburu East,Helminthiasis,1743
Marsabit,North Horr,Cutenous Myiasis,0
Taita Taveta,Taveta,Helminthiasis,826
Garissa,Balambala,Brucellosis,46
Marsabit,North Horr,Mastitis,2
Marsabit,Moyale,Taeniosis,1
Marsabit,Moyale,Rabies,329
Marsabit,Moyale,Sheep Pox,170
Marsabit,Moyale,Eye Infection,40
Marsabit,Moyale,Not Confirmed Yet,60
Marsabit,Saku,0,153
Taita Taveta,Taveta,Babesiosis,8
Marsabit,Moyale,Upper respiratory infections,2
Marsabit,Moyale,Septic Wounds,5
Marsabit,Moyale,Foot Rot,4044
Marsabit,Moyale,Cut Wound,0
Marsabit,Moyale,Epmiral Fever,5
Marsabit,Moyale,Anaplasmosis,112
Marsabit,Moyale,Sores Around The Gums,2
Marsabit,Moyale,Retained Afterbirth,0
Marsabit,Moyale,Pink Eye,22
Marsabit,Moyale,Newcastle Disease (NCD),412
Marsabit,Moyale,N/A,41
Baringo,Baringo North,Lumpy Skin Disease (LSD),114
Marsabit,Moyale,Salmonellosis,8
Marsabit,Laisamis,Coccidosis,51
Marsabit,Laisamis,Helminthiasis,1480
Marsabit,Laisamis,Sheep Pox,535
Baringo,Baringo South,Lumpy Skin Disease (LSD),135
Taita Taveta,Voi,Trypanosomiasis,316
Taita Taveta,Mwatate,Acute Trypanosomiasis,38
Marsabit,Laisamis,Trypanosomiasis,402
Taita Taveta,Mwatate,Pneumonia,773
Marsabit,Laisamis,Diarrhoea,1
Marsabit,Laisamis,East Coast Fever(ECF),78
Marsabit,Saku,Pinkeye,1
Marsabit,Moyale,Calf Scours,3
Marsabit,Saku,Pneumonia,9
Marsabit,Moyale,Ketosis/Hypocalcaemia,7
Marsabit,Moyale,Coenurosis,65
Marsabit,Moyale,Peste des Petit Ruminants (PPR),10908
Marsabit,Moyale,Hynes Attacked,2
Marsabit,Moyale,Plant Poisoning,8
Baringo,Baringo North,Sheep Pox,797
Marsabit,Laisamis,Brucellosis,435
Marsabit,North Horr,Skin Abscess,0
Marsabit,Laisamis,Goat Pox,147
Marsabit,Moyale,Late Abortion,15
Marsabit,Saku,Injury,0
Marsabit,Laisamis,Pneumonia,277
Marsabit,Laisamis,Lumpy Skin Disease (LSD),13
Marsabit,Laisamis,Animal bites,107
Marsabit,Laisamis,0,785
Marsabit,Laisamis,Ruminal Tympany,2
Taita Taveta,Taveta,Heart Water,33
Marsabit,Laisamis,Anaplasmosis,67
Marsabit,Laisamis,Rabies,320
Marsabit,Moyale,ephemeral fever,1
Marsabit,Moyale,Retained Urine,21
Marsabit,Saku,Rift Valley Fever (RVF),65
Marsabit,Saku,None,0
Marsabit,Saku,Listeriosis,10
Marsabit,Moyale,Foot And Rot,6
Marsabit,Moyale,Acute Camel Disease,36
Marsabit,Moyale,Dermatitis,3
Marsabit,Moyale,Subclinical Mastitis,1
Marsabit,North Horr,Subclinical Mastitis,1
Marsabit,Saku,blue tongue,122
Marsabit,Saku,Milk Fever,0
Marsabit,Moyale,Mange,2051
Marsabit,Moyale,Enteritis,2
Marsabit,Moyale,Diarrhoea,90
Marsabit,Moyale,Blue Tongue Disease,259
Marsabit,Moyale,Canine Distemper (CD),70
Marsabit,Saku,Trypanosomiasis,64
Marsabit,Moyale,Infectious Bursai Disease (Gumboro),15
Samburu,Samburu East,Skin Abscess,0
Marsabit,Moyale,Parvovirus,2
Marsabit,Saku,Anaplasmosis,135
Marsabit,Moyale,Contagious Abortion,3
Marsabit,Moyale,blue tongue,133
Marsabit,North Horr,East Coast Fever(ECF),2
Marsabit,North Horr,Three Day Sickness,2
Marsabit,Moyale,Conjuctivitis,5
Marsabit,Laisamis,Enterotoxaemia,193
Marsabit,Laisamis,Pink Eye,5
Mombasa,Kisauni,Brucellosis,1
Mombasa,Kisauni,Colic,0
Mombasa,Likoni,Animal bites,3
Mombasa,Kisauni,Mange,1
Mombasa,Kisauni,Helminthiasis,76
Mombasa,Nyali,Helminthiasis,31
Mombasa,Kisauni,Anaplasmosis,5
Nairobi,Kasarani,Fowl Pox,90
Nakuru,Naivasha,Helminthiasis,125
Nakuru,Nakuru Town East,Coenurosis,36
Nakuru,Subukia,Pneumonia,14
Nakuru,Naivasha,Black Quarter,3
Nakuru,Bahati,Helminthiasis,27
Nakuru,Bahati,Footrot,18
Nakuru,Bahati,East Coast Fever(ECF),7
Nakuru,Nakuru Town East,Brucellosis,36
Nakuru,Bahati,Animal bites,12
Nakuru,Gilgil,Lumpy Skin Disease (LSD),4
Nakuru,Nakuru Town East,Pneumonia,84
Nakuru,Bahati,Pneumonia,19
Nakuru,Gilgil,Pneumonia,116
Nakuru,Nakuru Town East,Helminthiasis,67
Nakuru,Kuresoi North,Brucellosis,89
Nakuru,Naivasha,Pneumonia,150
Nakuru,Gilgil,Trypanosomiasis,1
Nakuru,Bahati,Lumpy Skin Disease (LSD),10
Nakuru,Naivasha,Brucellosis,68
Nakuru,Bahati,Anthrax,30
Nakuru,Bahati,Abortion,3
Nakuru,Nakuru Town East,Bee Sting,2
Nakuru,Nakuru Town East,East Coast Fever(ECF),8
Nakuru,Molo,Animal bites,3
Nakuru,Molo,Pneumonia,6
Nandi,Mosop,Helminthiasis,0
Nandi,Chesumei,Fracture,0
Samburu,Samburu East,Peste des Petit Ruminants (PPR),3566
Narok,Narok South,Helminthiasis,940
Narok,Narok South,Stomach Enteritis,0
Narok,Transmara West,Helminthiasis,3
Narok,Narok South,Peste des Petit Ruminants (PPR),50
Narok,Narok South,Brucellosis,341
Narok,Transmara West,Bee Sting,2
Narok,Transmara West,Black Quarter,3
Narok,Narok North,Pink Eye,325
Narok,Narok North,Helminthiasis,10
Narok,Narok South,Black Quarter,4
Narok,Narok North,Poisoning,111
Narok,Narok South,Pink Eye,26
Narok,Narok South,Contagious Caprine Pleuropneumonia (CCPP),248
Narok,Narok West,Enterotoxaemia,31
Narok,Narok South,Rift Valley Fever (RVF),15
Narok,Narok South,Enterotoxaemia,35
Samburu,Samburu West,Foot and Mouth Disease (FMD),969
Narok,Narok South,Animal bites,124
Narok,Narok South,East Coast Fever(ECF),804
Narok,Narok West,Pneumonia,83
Nyamira,Kitutu Masaba,Contagious Caprine Pleuropneumonia (CCPP),105
Nyamira,Kitutu Masaba,Anaplasmosis,1
Nyandarua,Kipipiri,Brucellosis,242
Nyandarua,Kipipiri,Abcess,5
Nyandarua,Kipipiri,Pneumonia,147
Nyandarua,Kipipiri,Uterine Infection,83
Nyandarua,Kipipiri,Contagious Caprine Pleuropneumonia (CCPP),57
Nyandarua,Kinangop,Trypanosomiasis,5
Nyandarua,Ol Jorok,Pneumonia,20
Nyeri,Nyeri Town,Mange,30
Nyeri,Kieni,Parvovirus,5
Nyeri,Mukurweini,Helminthiasis,40
Nyeri,Mukurweini,Brucellosis,73
Nyeri,Nyeri Town,Enterotoxaemia,21
Nyeri,Tetu,Helminthiasis,2
Nyeri,Kieni,Helminthiasis,3
Nyeri,Kieni,Anaplasmosis,7
Nyeri,Mukurweini,East Coast Fever(ECF),27
Samburu,Samburu West,East Coast Fever(ECF),537
Samburu,Samburu West,Helminthiasis,1239
Samburu,Samburu North,Brucellosis,48
Samburu,Samburu West,Diarrhoea,94
Samburu,Samburu West,Contagious Caprine Pleuropneumonia (CCPP),1424
Samburu,Samburu East,Brucellosis,229
Samburu,Samburu East,Pneumonia,890
Samburu,Samburu East,Pink Eye Infection,3
Samburu,Samburu East,Mastitis,55
Samburu,Samburu East,Photosensitization,0
Samburu,Samburu West,Neurological Diseases,6
Samburu,Samburu East,Lumpy Skin Disease (LSD),63
Samburu,Samburu East,Rift Valley Fever (RVF),57
Samburu,Samburu East,Dermatophycosis,4
Samburu,Samburu East,Mange,129
Samburu,Samburu East,Trypanosomiasis,40
Samburu,Samburu North,Infection Coryza,25
Samburu,Samburu West,Enterotoxaemia,159
